Nivel,NOMBRE,Year,SEMANA_REGISTRO,No requiere,Por supervisor,Por CCMC,Year_Semana
PLAZA,TAMPICO,2022,21,2,0,0,2022-21
PLAZA,TIJUANA,2022,19,4,0,0,2022-19
PLAZA,TIJUANA,2022,20,3,0,0,2022-20
PLAZA,TIJUANA,2022,21,4,1,1,2022-21
PLAZA,TOLUCA,2022,19,10,1,0,2022-19
PLAZA,TOLUCA,2022,20,12,1,1,2022-20
PLAZA,TOLUCA,2022,21,15,1,1,2022-21
PLAZA,TUXTLA,2022,19,1,0,0,2022-19
PLAZA,TUXTLA,2022,20,2,0,0,2022-20
PLAZA,TUXTLA,2022,21,6,0,0,2022-21
PLAZA,VERACRUZ,2022,19,11,0,2,2022-19
PLAZA,VERACRUZ,2022,20,7,0,6,2022-20
PLAZA,VERACRUZ,2022,21,13,0,0,2022-21
PLAZA,VILLAHERMOSA,2022,19,4,0,0,2022-19
PLAZA,VILLAHERMOSA,2022,20,5,0,0,2022-20
PLAZA,VILLAHERMOSA,2022,21,3,0,0,2022-21
PLAZA,XALAPA,2022,19,4,0,0,2022-19
PLAZA,XALAPA,2022,20,4,0,0,2022-20
PLAZA,XALAPA,2022,21,5,0,0,2022-21
DISTRITO,ACAPULCO,2022,19,0,0,0,2022-19
DISTRITO,ACAPULCO,2022,20,1,0,0,2022-20
DISTRITO,ACAPULCO,2022,21,0,0,0,2022-21
DISTRITO,AEROPUERTO,2022,19,4,0,0,2022-19
DISTRITO,AEROPUERTO,2022,20,4,0,1,2022-20
DISTRITO,AEROPUERTO,2022,21,3,0,0,2022-21
DISTRITO,AGUASCALIENTES,2022,19,1,0,0,2022-19
DISTRITO,AGUASCALIENTES,2022,20,7,0,0,2022-20
DISTRITO,AGUASCALIENTES,2022,21,7,0,0,2022-21
DISTRITO,ARAGON,2022,19,11,1,0,2022-19
DISTRITO,ARAGON,2022,20,7,0,1,2022-20
DISTRITO,ARAGON,2022,21,10,0,0,2022-21
DISTRITO,AZCAPOTZALCO,2022,19,2,0,1,2022-19
DISTRITO,AZCAPOTZALCO,2022,20,5,0,1,2022-20
DISTRITO,AZCAPOTZALCO,2022,21,4,1,2,2022-21
DISTRITO,CANCUN,2022,19,6,2,0,2022-19
DISTRITO,CANCUN,2022,20,7,1,0,2022-20
DISTRITO,CANCUN,2022,21,6,0,0,2022-21
DISTRITO,CELAYA,2022,20,4,0,0,2022-20
DISTRITO,CENTRO HISTORICO,2022,20,0,0,0,2022-20
DISTRITO,CENTRO HISTORICO,2022,21,2,0,0,2022-21
DISTRITO,CERRO GORDO,2022,19,6,0,0,2022-19
DISTRITO,CERRO GORDO,2022,20,13,0,0,2022-20
DISTRITO,CERRO GORDO,2022,21,14,0,0,2022-21
DISTRITO,CHALCO,2022,19,10,0,0,2022-19
DISTRITO,CHALCO,2022,20,10,0,0,2022-20
DISTRITO,CHALCO,2022,21,8,0,0,2022-21
DISTRITO,CHIHUAHUA CUMBRES,2022,19,0,0,0,2022-19
DISTRITO,CHIHUAHUA CUMBRES,2022,20,0,0,0,2022-20
DISTRITO,CHIHUAHUA CUMBRES,2022,21,0,0,0,2022-21
DISTRITO,CHIHUAHUA DEL RELIZ,2022,19,2,0,0,2022-19
DISTRITO,CHIHUAHUA DEL RELIZ,2022,21,1,0,0,2022-21
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,19,7,1,0,2022-19
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,20,4,0,0,2022-20
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,21,9,0,0,2022-21
DISTRITO,CIUDAD VICTORIA,2022,19,0,0,0,2022-19
DISTRITO,CIUDAD VICTORIA,2022,20,2,0,0,2022-20
DISTRITO,CIUDAD VICTORIA,2022,21,1,0,0,2022-21
DISTRITO,COACALCO,2022,19,2,2,0,2022-19
DISTRITO,COACALCO,2022,20,3,2,0,2022-20
DISTRITO,COACALCO,2022,21,3,1,0,2022-21
DISTRITO,COATZA / MINA,2022,19,3,0,0,2022-19
DISTRITO,COATZA / MINA,2022,20,3,0,0,2022-20
DISTRITO,COATZA / MINA,2022,21,4,0,0,2022-21
DISTRITO,COLIMA / MANZANILLO,2022,19,0,0,0,2022-19
DISTRITO,CONDESA,2022,20,1,0,0,2022-20
DISTRITO,CONDESA,2022,21,0,0,0,2022-21
DISTRITO,CONSTITUCION,2022,19,6,0,0,2022-19
DISTRITO,CONSTITUCION,2022,20,10,2,2,2022-20
DISTRITO,CONSTITUCION,2022,21,13,1,1,2022-21
DISTRITO,CORDOBA / ORIZABA,2022,19,11,0,0,2022-19
DISTRITO,CORDOBA / ORIZABA,2022,20,6,0,2,2022-20
DISTRITO,CORDOBA / ORIZABA,2022,21,5,0,1,2022-21
DISTRITO,CUERNAVACA BUGAMBILIAS,2022,19,6,0,0,2022-19
DISTRITO,CUERNAVACA BUGAMBILIAS,2022,20,1,0,0,2022-20
DISTRITO,CUERNAVACA BUGAMBILIAS,2022,21,5,0,0,2022-21
DISTRITO,CUERNAVACA DE CORTEZ,2022,19,2,1,0,2022-19
DISTRITO,CUERNAVACA DE CORTEZ,2022,20,4,0,0,2022-20
DISTRITO,CUERNAVACA DE CORTEZ,2022,21,2,1,1,2022-21
DISTRITO,CULIACAN,2022,19,3,0,0,2022-19
DISTRITO,CULIACAN,2022,20,3,0,0,2022-20
DISTRITO,CULIACAN,2022,21,4,0,0,2022-21
DISTRITO,DELTA,2022,19,5,0,0,2022-19
DISTRITO,DELTA,2022,20,5,0,0,2022-20
DISTRITO,DELTA,2022,21,2,0,0,2022-21
DISTRITO,ECATEPEC,2022,19,5,0,0,2022-19
DISTRITO,ECATEPEC,2022,20,10,2,0,2022-20
DISTRITO,ECATEPEC,2022,21,4,0,0,2022-21
DISTRITO,GDL BARRANCA,2022,19,1,0,0,2022-19
DISTRITO,GDL BARRANCA,2022,20,2,0,0,2022-20
DISTRITO,GDL BARRANCA,2022,21,6,0,0,2022-21
DISTRITO,GDL CHAPULTEPEC,2022,19,6,2,0,2022-19
DISTRITO,GDL CHAPULTEPEC,2022,20,4,0,0,2022-20
DISTRITO,GDL CHAPULTEPEC,2022,21,9,0,0,2022-21
DISTRITO,GDL COLOMOS,2022,20,0,1,0,2022-20
DISTRITO,GDL COLOMOS,2022,21,1,0,1,2022-21
DISTRITO,GDL EL TAPATIO,2022,19,1,0,0,2022-19
DISTRITO,GDL EL TAPATIO,2022,20,0,0,0,2022-20
DISTRITO,GDL EL TAPATIO,2022,21,0,0,0,2022-21
DISTRITO,GDL ESTADIO,2022,19,4,0,0,2022-19
DISTRITO,GDL ESTADIO,2022,21,6,1,0,2022-21
DISTRITO,GDL LA PRIMAVERA,2022,19,0,0,0,2022-19
DISTRITO,GDL LA PRIMAVERA,2022,20,1,0,1,2022-20
DISTRITO,GDL LA PRIMAVERA,2022,21,2,0,0,2022-21
DISTRITO,GDL LAZARO CARDENAS,2022,19,3,0,0,2022-19
DISTRITO,GDL LAZARO CARDENAS,2022,20,0,0,0,2022-20
DISTRITO,GDL LAZARO CARDENAS,2022,21,1,0,0,2022-21
DISTRITO,GDL LOPEZ MATEOS,2022,19,1,0,0,2022-19
DISTRITO,GDL LOPEZ MATEOS,2022,20,2,0,0,2022-20
DISTRITO,GDL LOPEZ MATEOS,2022,21,2,0,0,2022-21
DISTRITO,GUADALUPE TEPEYAC,2022,20,5,1,0,2022-20
DISTRITO,GUADALUPE TEPEYAC,2022,21,8,0,0,2022-21
DISTRITO,GUANAJUATO,2022,19,0,0,0,2022-19
DISTRITO,GUANAJUATO,2022,21,1,0,0,2022-21
DISTRITO,HUEHUETOCA,2022,19,8,0,0,2022-19
DISTRITO,HUEHUETOCA,2022,20,7,1,0,2022-20
DISTRITO,HUEHUETOCA,2022,21,7,0,0,2022-21
DISTRITO,IRAPUATO,2022,19,2,0,0,2022-19
DISTRITO,IRAPUATO,2022,20,4,0,0,2022-20
DISTRITO,IRAPUATO,2022,21,2,0,0,2022-21
DISTRITO,IZTAPALAPA,2022,19,3,0,0,2022-19
DISTRITO,IZTAPALAPA,2022,20,5,0,0,2022-20
DISTRITO,IZTAPALAPA,2022,21,0,0,0,2022-21
DISTRITO,JUAREZ NORTE,2022,19,1,0,0,2022-19
DISTRITO,JUAREZ NORTE,2022,20,1,0,0,2022-20
DISTRITO,JUAREZ NORTE,2022,21,4,1,0,2022-21
DISTRITO,JUAREZ SUR,2022,19,3,0,0,2022-19
DISTRITO,JUAREZ SUR,2022,20,0,0,0,2022-20
DISTRITO,JUAREZ SUR,2022,21,7,2,0,2022-21
DISTRITO,LA LAGUNA GOMEZ,2022,19,4,0,0,2022-19
DISTRITO,LA LAGUNA GOMEZ,2022,20,3,2,0,2022-20
DISTRITO,LA LAGUNA GOMEZ,2022,21,2,0,0,2022-21
DISTRITO,LA LAGUNA TORREON,2022,19,2,0,0,2022-19
DISTRITO,LA LAGUNA TORREON,2022,20,0,0,0,2022-20
DISTRITO,LA LAGUNA TORREON,2022,21,3,0,0,2022-21
DISTRITO,LAS AGUILAS,2022,19,0,0,0,2022-19
DISTRITO,LAS AGUILAS,2022,20,1,0,0,2022-20
DISTRITO,LAS AGUILAS,2022,21,1,1,0,2022-21
DISTRITO,LOS REYES,2022,19,1,0,0,2022-19
DISTRITO,LOS REYES,2022,20,7,0,0,2022-20
DISTRITO,LOS REYES,2022,21,7,0,0,2022-21
DISTRITO,MATAMOROS,2022,19,12,0,0,2022-19
DISTRITO,MATAMOROS,2022,20,12,0,0,2022-20
DISTRITO,MATAMOROS,2022,21,9,0,0,2022-21
DISTRITO,MAZATLAN,2022,19,0,0,0,2022-19
DISTRITO,MAZATLAN,2022,20,0,0,0,2022-20
DISTRITO,MAZATLAN,2022,21,0,1,0,2022-21
DISTRITO,MERIDA NORTE,2022,19,3,0,0,2022-19
DISTRITO,MERIDA NORTE,2022,20,3,0,1,2022-20
DISTRITO,MERIDA NORTE,2022,21,6,0,0,2022-21
DISTRITO,MERIDA SUR,2022,19,2,0,0,2022-19
DISTRITO,MERIDA SUR,2022,20,4,0,1,2022-20
DISTRITO,MERIDA SUR,2022,21,6,1,0,2022-21
DISTRITO,MORELIA,2022,19,1,0,0,2022-19
DISTRITO,MORELIA,2022,20,0,0,0,2022-20
DISTRITO,MORELIA,2022,21,1,0,0,2022-21
DISTRITO,MTY AEROPUERTO,2022,20,1,0,0,2022-20
DISTRITO,MTY AEROPUERTO,2022,21,1,0,0,2022-21
DISTRITO,MTY CARRETERA NACIONAL,2022,19,6,0,0,2022-19
DISTRITO,MTY CARRETERA NACIONAL,2022,20,7,0,0,2022-20
DISTRITO,MTY CARRETERA NACIONAL,2022,21,9,0,0,2022-21
DISTRITO,MTY CERRO DE LA SILLA,2022,20,6,2,0,2022-20
DISTRITO,MTY CERRO DE LA SILLA,2022,21,4,2,0,2022-21
DISTRITO,MTY GARCIA,2022,19,2,0,0,2022-19
DISTRITO,MTY GARCIA,2022,20,1,1,0,2022-20
DISTRITO,MTY GARCIA,2022,21,2,0,0,2022-21
DISTRITO,MTY MITRAS,2022,20,1,0,0,2022-20
DISTRITO,MTY MITRAS,2022,21,5,0,0,2022-21
DISTRITO,MTY SANTA LUCIA,2022,20,1,0,0,2022-20
DISTRITO,MTY SANTA LUCIA,2022,21,0,0,0,2022-21
DISTRITO,MTY SENDERO DIVISORIO,2022,20,2,1,0,2022-20
DISTRITO,MTY SENDERO DIVISORIO,2022,21,3,0,0,2022-21
DISTRITO,MTY SIERRA MADRE,2022,20,3,0,0,2022-20
DISTRITO,MTY SIERRA MADRE,2022,21,5,0,1,2022-21
DISTRITO,NAUCALPAN,2022,19,7,0,0,2022-19
DISTRITO,NAUCALPAN,2022,20,5,0,4,2022-20
DISTRITO,NAUCALPAN,2022,21,5,0,1,2022-21
DISTRITO,NEZA 1,2022,19,5,0,0,2022-19
DISTRITO,NEZA 1,2022,20,7,1,0,2022-20
DISTRITO,NEZA 1,2022,21,6,0,0,2022-21
DISTRITO,NEZA 2,2022,20,9,1,0,2022-20
DISTRITO,NEZA 2,2022,21,8,0,0,2022-21
DISTRITO,NICOLAS ROMERO,2022,19,14,0,0,2022-19
DISTRITO,NICOLAS ROMERO,2022,20,10,0,0,2022-20
DISTRITO,NICOLAS ROMERO,2022,21,9,0,0,2022-21
DISTRITO,OJO DE AGUA,2022,19,1,0,0,2022-19
DISTRITO,OJO DE AGUA,2022,20,2,0,0,2022-20
DISTRITO,OJO DE AGUA,2022,21,2,0,0,2022-21
DISTRITO,PACHUCA,2022,19,6,0,2,2022-19
DISTRITO,PACHUCA,2022,20,5,0,0,2022-20
DISTRITO,PACHUCA,2022,21,2,0,0,2022-21
DISTRITO,PEDREGAL,2022,19,0,0,0,2022-19
DISTRITO,PEDREGAL,2022,20,1,0,0,2022-20
DISTRITO,PEDREGAL,2022,21,5,0,0,2022-21
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,2022,19,2,0,0,2022-19
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,2022,20,3,0,0,2022-20
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,2022,21,3,0,0,2022-21
DISTRITO,POLANCO,2022,19,0,0,0,2022-19
DISTRITO,POLANCO,2022,20,6,0,0,2022-20
DISTRITO,POLANCO,2022,21,4,0,0,2022-21
DISTRITO,PORTALES,2022,19,2,1,0,2022-19
DISTRITO,PORTALES,2022,20,3,0,0,2022-20
DISTRITO,PORTALES,2022,21,5,0,1,2022-21
DISTRITO,POZA RICA,2022,19,1,2,0,2022-19
DISTRITO,POZA RICA,2022,20,3,0,0,2022-20
DISTRITO,POZA RICA,2022,21,3,0,0,2022-21
DISTRITO,PUE ANGELOPOLIS,2022,19,7,0,0,2022-19
DISTRITO,PUE ANGELOPOLIS,2022,20,8,0,0,2022-20
DISTRITO,PUE ANGELOPOLIS,2022,21,6,0,0,2022-21
DISTRITO,PUE LA NORIA,2022,19,1,0,0,2022-19
DISTRITO,PUE LA NORIA,2022,20,2,0,0,2022-20
