Nivel,NOMBRE,Year,SEMANA_REGISTRO,80-20,Actividades multiples,Armado de conectores Prepulidos,Armado de conectores RJ45,Como subir tu venta en FFM,Consumo de Materiales,De Técnico a experto en Servicio a Domicilio,Entrega de Servicios,Justificación de Materiales,Plan de Vida y Carrera,Proceso de instalación,Proceso de Instalación (Enfoque a Calidad),Productividad,Reincidencias y revisión de herramientas (impartido 06 de junio 2022),"Trayectoría, alturas y Flejados",Trayectorías,Venta Técnico,Ventas,Year_Semana
DISTRITO,TULTITLAN,2022,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2022-23
DISTRITO,TOL METEPEC,2022,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
DISTRITO,JUAREZ SUR,2022,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2022-23
DISTRITO,MTY SIERRA MADRE,2022,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,TIJ RIO,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,TIJ TECATE,2022,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
DISTRITO,GDL ESTADIO,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,GDL LOPEZ MATEOS,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
DISTRITO,CUERNAVACA DE CORTEZ,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-23
DISTRITO,PUE ANGELOPOLIS,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,VILLAHERMOSA,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
DISTRITO,AZCAPOTZALCO,2022,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022-24
DISTRITO,XOCHIMILCO,2022,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2022-24
DISTRITO,TOL LERMA SAN MATEO,2022,24,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,2022-24
DISTRITO,TOL METEPEC,2022,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-24
DISTRITO,TIJ RIO,2022,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-24
DISTRITO,TIJ TECATE,2022,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-24
DISTRITO,MERIDA NORTE,2022,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-24
DISTRITO,CENTRO HISTORICO,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-25
DISTRITO,CONSTITUCION,2022,25,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2022-25
DISTRITO,NAUCALPAN,2022,25,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2022-25
DISTRITO,PEDREGAL,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-25
DISTRITO,SATELITE,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-25
DISTRITO,TECAMAC,2022,25,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2022-25
