Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,GDL LA PRIMAVERA,3,2901,346,0.119269218
DISTRITO,GDL LA PRIMAVERA,4,3176,412,0.129722922
DISTRITO,GDL LA PRIMAVERA,5,3282,418,0.127361365
DISTRITO,GDL LAZARO CARDENAS,1,3482,623,0.178920161
DISTRITO,GDL LAZARO CARDENAS,2,3706,557,0.150296816
DISTRITO,GDL LAZARO CARDENAS,3,4321,666,0.154130988
DISTRITO,GDL LAZARO CARDENAS,4,4272,710,0.166198502
DISTRITO,GDL LAZARO CARDENAS,5,4369,724,0.165712978
DISTRITO,GDL LOPEZ MATEOS,1,3826,845,0.220857292
DISTRITO,GDL LOPEZ MATEOS,2,3482,690,0.198161976
DISTRITO,GDL LOPEZ MATEOS,3,4494,802,0.178460169
DISTRITO,GDL LOPEZ MATEOS,4,4108,822,0.200097371
DISTRITO,GDL LOPEZ MATEOS,5,3853,751,0.194913055
DISTRITO,GUADALUPE TEPEYAC,1,1436,148,0.103064067
DISTRITO,GUADALUPE TEPEYAC,2,1432,133,0.092877095
DISTRITO,GUADALUPE TEPEYAC,3,1576,112,0.07106599
DISTRITO,GUADALUPE TEPEYAC,4,1581,145,0.091714105
DISTRITO,GUADALUPE TEPEYAC,5,1773,176,0.099266779
DISTRITO,GUANAJUATO,1,400,34,0.085
DISTRITO,GUANAJUATO,2,454,27,0.059471366
DISTRITO,GUANAJUATO,3,567,26,0.045855379
DISTRITO,GUANAJUATO,4,619,32,0.051696284
DISTRITO,GUANAJUATO,5,592,29,0.048986486
DISTRITO,HERMOSILLO,1,790,73,0.092405063
DISTRITO,HERMOSILLO,2,661,57,0.08623298
DISTRITO,HERMOSILLO,3,919,88,0.095756257
DISTRITO,HERMOSILLO,4,1052,82,0.077946768
DISTRITO,HERMOSILLO,5,999,64,0.064064064
DISTRITO,HUEHUETOCA,1,415,34,0.081927711
DISTRITO,HUEHUETOCA,2,435,42,0.096551724
DISTRITO,HUEHUETOCA,3,454,29,0.063876652
DISTRITO,HUEHUETOCA,4,493,40,0.081135903
DISTRITO,HUEHUETOCA,5,538,47,0.087360595
DISTRITO,IRAPUATO,1,887,76,0.085682074
