Nivel,NOMBRE,Year,SEMANA_REGISTRO,Calidad,Venta técnico,Productividad,Consumo de materiales,Positiva,Tarjetas,Year_Semana,TarjetasTotales
PLAZA,SALTILLO,2022,22,3,2,2,2,7,1,2022-22,0
PLAZA,SAN LUIS POTOSI,2022,22,1,2,2,1,10,1,2022-22,4
PLAZA,TAMPICO,2022,22,0,1,1,0,1,0,2022-22,0
PLAZA,TIJUANA,2022,22,3,3,9,0,8,1,2022-22,10
PLAZA,AGUASCALIENTES,2022,22,1,2,4,0,1,0,2022-22,0
PLAZA,CELAYA,2022,22,2,0,2,0,2,1,2022-22,2
PLAZA,COLIMA / MANZANILLO,2022,22,1,0,4,0,1,0,2022-22,0
PLAZA,GUADALAJARA,2022,22,6,23,9,0,50,0,2022-22,25
PLAZA,GUANAJUATO,2022,22,0,2,1,0,3,0,2022-22,0
PLAZA,IRAPUATO,2022,22,4,0,1,0,7,0,2022-22,2
PLAZA,LEON,2022,22,5,2,8,1,14,2,2022-22,3
PLAZA,MORELIA,2022,22,2,0,0,0,4,0,2022-22,0
PLAZA,PUERTO VALLARTA,2022,22,0,0,2,0,7,0,2022-22,0
PLAZA,QUERETARO,2022,22,2,2,1,0,7,1,2022-22,0
PLAZA,ACAPULCO,2022,22,0,0,1,0,5,0,2022-22,0
PLAZA,CANCUN,2022,22,2,1,5,1,12,0,2022-22,2
PLAZA,COATZA / MINA,2022,22,4,1,3,0,3,0,2022-22,0
PLAZA,CORDOBA / ORIZABA,2022,22,2,3,5,0,2,0,2022-22,0
PLAZA,CUERNAVACA,2022,22,3,2,2,0,8,0,2022-22,0
PLAZA,MERIDA,2022,22,4,1,4,1,11,1,2022-22,0
PLAZA,PACHUCA,2022,22,2,3,0,0,7,0,2022-22,0
PLAZA,POZA RICA,2022,22,1,2,0,0,3,0,2022-22,0
PLAZA,PUEBLA,2022,22,6,10,3,0,17,0,2022-22,1
PLAZA,TUXTLA,2022,22,0,1,1,0,7,0,2022-22,0
PLAZA,VERACRUZ,2022,22,4,0,6,0,9,2,2022-22,0
PLAZA,VILLAHERMOSA,2022,22,4,0,1,0,4,0,2022-22,0
PLAZA,XALAPA,2022,22,1,2,3,1,5,0,2022-22,0
PLAZA,CDMX,2022,23,50,40,41,8,221,8,2022-23,13
PLAZA,TOLUCA,2022,23,4,4,16,2,35,0,2022-23,0
PLAZA,CHIHUAHUA,2022,23,0,4,1,0,6,0,2022-23,0
PLAZA,CIUDAD JUAREZ,2022,23,3,1,2,0,9,1,2022-23,11
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,23,2,4,1,0,4,0,2022-23,0
PLAZA,HERMOSILLO,2022,23,0,3,5,0,4,0,2022-23,2
PLAZA,LA LAGUNA,2022,23,2,1,0,1,16,0,2022-23,1
PLAZA,MATAMOROS,2022,23,3,0,4,0,9,0,2022-23,0
PLAZA,MAZATLAN,2022,23,1,0,0,0,3,0,2022-23,0
PLAZA,MEXICALI,2022,23,1,2,1,0,8,0,2022-23,0
PLAZA,MONTERREY,2022,23,11,10,5,2,41,4,2022-23,6
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,23,1,1,1,0,6,0,2022-23,0
PLAZA,REYNOSA,2022,23,0,0,1,0,9,0,2022-23,0
PLAZA,SALTILLO,2022,23,2,2,2,1,13,0,2022-23,2
PLAZA,SAN LUIS POTOSI,2022,23,0,8,4,1,16,1,2022-23,4
PLAZA,TAMPICO,2022,23,0,1,1,0,1,0,2022-23,0
PLAZA,TIJUANA,2022,23,2,3,7,2,6,1,2022-23,8
PLAZA,AGUASCALIENTES,2022,23,1,4,0,3,0,0,2022-23,0
PLAZA,CELAYA,2022,23,7,0,0,0,0,2,2022-23,0
PLAZA,COLIMA / MANZANILLO,2022,23,3,2,3,0,2,0,2022-23,0
PLAZA,GUADALAJARA,2022,23,9,17,15,2,61,4,2022-23,30
PLAZA,GUANAJUATO,2022,23,0,2,0,0,4,0,2022-23,0
PLAZA,IRAPUATO,2022,23,3,1,2,0,10,0,2022-23,0
PLAZA,LEON,2022,23,5,3,15,0,11,2,2022-23,2
PLAZA,MORELIA,2022,23,2,0,0,0,4,0,2022-23,0
PLAZA,PUERTO VALLARTA,2022,23,0,0,6,0,6,0,2022-23,2
PLAZA,QUERETARO,2022,23,2,1,1,0,6,0,2022-23,0
PLAZA,ACAPULCO,2022,23,0,1,1,0,6,0,2022-23,0
PLAZA,CANCUN,2022,23,5,3,7,0,10,2,2022-23,1
PLAZA,COATZA / MINA,2022,23,0,4,4,0,4,0,2022-23,2
PLAZA,CORDOBA / ORIZABA,2022,23,3,3,3,0,6,0,2022-23,0
PLAZA,CUERNAVACA,2022,23,2,2,0,1,12,0,2022-23,0
PLAZA,MERIDA,2022,23,0,4,6,0,12,0,2022-23,1
PLAZA,PACHUCA,2022,23,1,6,0,0,8,0,2022-23,0
PLAZA,POZA RICA,2022,23,1,4,1,0,2,0,2022-23,0
PLAZA,PUEBLA,2022,23,14,3,5,0,24,0,2022-23,2
PLAZA,TUXTLA,2022,23,0,0,3,0,9,0,2022-23,2
PLAZA,VERACRUZ,2022,23,2,3,8,0,12,0,2022-23,2
PLAZA,VILLAHERMOSA,2022,23,2,1,1,1,3,0,2022-23,0
PLAZA,XALAPA,2022,23,0,4,2,3,7,0,2022-23,0
PLAZA,CDMX,2022,24,17,24,19,1,58,0,2022-24,36
PLAZA,TOLUCA,2022,24,2,2,0,2,5,0,2022-24,2
PLAZA,CHIHUAHUA,2022,24,0,0,0,0,4,0,2022-24,1
PLAZA,CIUDAD JUAREZ,2022,24,2,3,5,2,4,4,2022-24,25
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,24,1,4,0,0,3,0,2022-24,0
PLAZA,CIUDAD VICTORIA,2022,24,0,0,2,0,2,0,2022-24,0
PLAZA,CULIACAN,2022,24,4,6,1,1,5,0,2022-24,2
PLAZA,MEXICALI,2022,24,1,1,0,0,2,0,2022-24,6
PLAZA,MONTERREY,2022,24,1,1,3,1,21,0,2022-24,12
PLAZA,TIJUANA,2022,24,4,6,1,0,7,2,2022-24,23
PLAZA,AGUASCALIENTES,2022,24,1,2,0,0,0,0,2022-24,0
PLAZA,CELAYA,2022,24,4,0,0,0,1,0,2022-24,0
PLAZA,GUADALAJARA,2022,24,4,1,5,0,16,0,2022-24,52
PLAZA,GUANAJUATO,2022,24,2,0,0,0,1,0,2022-24,2
PLAZA,IRAPUATO,2022,24,0,0,0,0,4,0,2022-24,0
PLAZA,LEON,2022,24,1,0,1,0,0,0,2022-24,4
PLAZA,CANCUN,2022,24,1,0,0,0,5,0,2022-24,3
PLAZA,COATZA / MINA,2022,24,0,0,3,0,1,0,2022-24,0
PLAZA,CORDOBA / ORIZABA,2022,24,0,0,0,0,1,0,2022-24,0
PLAZA,MERIDA,2022,24,3,0,0,0,2,0,2022-24,1
PLAZA,VILLAHERMOSA,2022,24,2,0,0,0,2,0,2022-24,0
PLAZA,CDMX,2022,25,63,61,52,5,259,12,2022-25,29
PLAZA,TOLUCA,2022,25,13,3,17,0,33,1,2022-25,1
PLAZA,CHIHUAHUA,2022,25,0,1,1,0,5,0,2022-25,1
PLAZA,CIUDAD JUAREZ,2022,25,4,0,1,0,7,2,2022-25,5
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,25,4,4,3,0,9,0,2022-25,0
PLAZA,CIUDAD VICTORIA,2022,25,0,0,3,0,4,0,2022-25,2
PLAZA,HERMOSILLO,2022,25,3,10,1,0,2,1,2022-25,0
PLAZA,LA LAGUNA,2022,25,1,1,2,0,18,0,2022-25,1
PLAZA,MATAMOROS,2022,25,9,0,2,0,4,0,2022-25,0
PLAZA,MEXICALI,2022,25,2,2,1,1,10,0,2022-25,0
PLAZA,MONTERREY,2022,25,5,7,15,2,57,3,2022-25,11
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,25,0,1,3,0,7,0,2022-25,0
PLAZA,REYNOSA,2022,25,0,0,3,0,12,0,2022-25,8
PLAZA,SALTILLO,2022,25,4,2,1,1,14,0,2022-25,2
PLAZA,SAN LUIS POTOSI,2022,25,0,4,0,0,1,0,2022-25,5
PLAZA,TIJUANA,2022,25,1,3,3,0,9,6,2022-25,12
