REGION,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
CDMX NORPONIENTE,2024-10-22,206,180,452,375,399
CDMX NORPONIENTE,2024-10-23,199,155,449,391,420
CDMX NORPONIENTE,2024-10-24,202,155,445,399,451
CDMX NORPONIENTE,2024-10-26,219,142,339,421,434
CDMX NORPONIENTE,2024-10-27,210,119,375,315,364
CDMX NORPONIENTE,2024-10-28,180,102,353,310,308
CDMX NORPONIENTE,2024-10-29,213,127,429,353,285
CDMX NORPONIENTE,2024-10-30,224,137,393,366,302
CDMX NORPONIENTE,2024-10-31,214,130,419,395,267
CDMX NORPONIENTE,2024-11-01,227,133,358,328,294
CDMX NORPONIENTE,2024-11-02,222,125,325,333,275
CDMX NORPONIENTE,2024-11-03,192,122,295,308,260
CDMX NORPONIENTE,2024-11-04,137,74,241,290,199
CDMX NORPONIENTE,2024-11-05,127,108,312,274,233
CDMX NORPONIENTE,2024-11-06,156,130,363,310,279
CDMX NORPONIENTE,2024-11-07,161,134,344,284,287
CDMX NORPONIENTE,2024-11-08,182,141,348,374,311
CDMX NORPONIENTE,2024-11-09,188,129,354,350,360
CDMX NORPONIENTE,2024-11-10,156,147,334,288,319
CDMX NORPONIENTE,2024-11-11,120,118,282,268,264
CDMX NORPONIENTE,2024-11-12,147,111,298,341,233
CDMX NORPONIENTE,2024-11-13,149,115,286,331,283
CDMX NORPONIENTE,2024-11-14,158,127,337,411,282
CDMX NORPONIENTE,2024-11-15,174,118,304,445,276
CDMX NORPONIENTE,2024-11-16,176,138,308,461,291
CDMX NORPONIENTE,2024-11-17,145,145,324,411,257
CDMX NORPONIENTE,2024-11-18,126,164,304,400,231
CDMX NORPONIENTE,2024-11-19,139,202,356,417,252
CDMX NORPONIENTE,2024-11-20,155,219,385,418,279
CDMX NORPONIENTE,2024-11-21,162,221,394,433,294
CDMX NORPONIENTE,2024-11-22,186,213,347,451,336
CDMX NORPONIENTE,2024-11-23,174,188,357,479,358
CDMX NORPONIENTE,2024-11-24,153,184,333,397,333
CDMX NORPONIENTE,2024-11-25,134,155,283,356,257
CDMX NORPONIENTE,2024-11-26,141,183,343,380,296
CDMX NORPONIENTE,2024-11-27,160,188,341,443,361
CDMX NORPONIENTE,2024-11-28,201,169,332,434,341
CDMX NORPONIENTE,2024-11-29,227,167,318,451,329
CDMX NORPONIENTE,2024-11-30,232,162,343,446,323
CDMX NORPONIENTE,2024-12-01,206,156,337,364,268
CDMX NORPONIENTE,2024-12-02,163,136,276,283,241
CDMX NORPONIENTE,2024-12-03,175,142,282,312,265
CDMX NORPONIENTE,2024-12-04,149,131,275,315,261
CDMX NORPONIENTE,2024-12-05,156,141,279,340,297
CDMX NORPONIENTE,2024-12-06,165,149,263,323,296
CDMX NORPONIENTE,2024-12-07,182,150,272,331,266
CDMX NORPONIENTE,2024-12-08,127,100,232,304,207
CDMX NORPONIENTE,2024-12-09,113,82,224,315,164
CDMX NORPONIENTE,2024-12-10,142,138,285,330,224
CDMX NORPONIENTE,2024-12-11,135,138,236,370,210
CDMX NORPONIENTE,2024-12-12,166,147,225,368,231
CDMX NORPONIENTE,2024-12-13,178,151,290,381,300
CDMX NORPONIENTE,2024-12-14,185,131,271,407,302
CDMX NORPONIENTE,2024-12-15,171,118,248,327,293
CDMX NORPONIENTE,2024-12-16,156,118,235,305,251
CDMX NORPONIENTE,2024-12-17,166,116,277,357,316
CDMX NORPONIENTE,2024-12-18,162,129,278,352,312
CDMX NORPONIENTE,2024-12-19,173,130,300,330,243
CDMX NORPONIENTE,2024-12-20,173,136,304,337,267
CDMX NORPONIENTE,2024-12-21,165,131,234,313,311
CDMX NORPONIENTE,2024-12-22,152,103,194,289,273
CDMX NORPONIENTE,2024-12-23,123,92,243,313,230
CDMX NORPONIENTE,2024-12-24,130,106,229,233,262
CDMX NORPONIENTE,2024-12-25,120,71,133,207,284
CDMX NORPONIENTE,2024-12-26,116,81,159,205,270
CDMX NORPONIENTE,2024-12-27,152,102,206,277,280
CDMX NORPONIENTE,2024-12-28,140,104,227,306,277
CDMX NORPONIENTE,2024-12-29,127,106,173,254,248
CDMX NORPONIENTE,2024-12-30,127,88,180,249,256
CDMX NORPONIENTE,2024-12-31,117,86,215,244,274
CDMX NORPONIENTE,2025-01-01,97,71,188,174,340
CDMX NORPONIENTE,2025-01-02,115,82,218,207,332
CDMX NORPONIENTE,2025-01-03,124,105,262,293,365
CDMX NORPONIENTE,2025-01-04,169,122,242,314,382
CDMX NORPONIENTE,2025-01-05,165,133,221,308,375
CDMX NORPONIENTE,2025-01-06,142,105,200,301,307
CDMX NORPONIENTE,2025-01-07,133,120,252,338,352
CDMX NORPONIENTE,2025-01-08,154,138,281,328,359
CDMX NORPONIENTE,2025-01-09,170,141,300,370,351
CDMX NORPONIENTE,2025-01-10,158,115,331,383,305
CDMX NORPONIENTE,2025-01-11,170,125,283,440,296
CDMX NORPONIENTE,2025-01-12,184,125,271,326,262
CDMX NORPONIENTE,2025-01-13,158,119,249,361,236
CDMX NORPONIENTE,2025-01-14,168,144,290,380,258
CDMX NORPONIENTE,2025-01-15,181,162,308,423,314
CDMX NORPONIENTE,2025-01-16,182,146,334,450,322
CDMX NORPONIENTE,2025-01-17,194,161,355,421,381
CDMX NORPONIENTE,2025-01-18,201,155,326,449,378
CDMX NORPONIENTE,2025-01-19,176,136,288,376,405
