Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR,YEAR
PLAZA,MORELIA,OCTUBRE,29758,746,166,41,22.25,5.5,2.51,0.56,2022
PLAZA,MORELIA,NOVIEMBRE,29758,732,147,31,20.08,4.23,2.46,0.49,2022
PLAZA,MORELIA,DICIEMBRE,29758,686,134,46,19.53,6.71,2.31,0.45,2022
PLAZA,MORELIA,ENERO,29852,734,95,24,12.94,3.27,2.46,0.32,2023
PLAZA,MORELIA,FEBRERO,30006,852,141,39,16.55,4.58,2.84,0.47,2023
PLAZA,MORELIA,MARZO,30325,732,138,44,18.85,6.01,2.41,0.46,2023
PLAZA,MORELIA,ABRIL,30439,665,136,34,20.45,5.11,2.18,0.45,2023
PLAZA,MORELIA,MAYO,30454,737,162,37,21.98,5.02,2.42,0.53,2023
PLAZA,MORELIA,JUNIO,30817,793,197,58,24.84,7.31,2.57,0.64,2023
PLAZA,NUEVO LAREDO,MARZO,2504,127,133,19,104.72,14.96,5.07,5.31,2023
PLAZA,NUEVO LAREDO,ABRIL,3960,264,246,42,93.18,15.91,6.67,6.21,2023
PLAZA,NUEVO LAREDO,MAYO,5211,355,274,45,77.18,12.68,6.81,5.26,2023
PLAZA,NUEVO LAREDO,JUNIO,6851,449,241,71,53.67,15.81,6.55,3.52,2023
PLAZA,PACHUCA,ENERO,53227,1460,380,103,26.03,7.05,2.74,0.71,2022
PLAZA,PACHUCA,FEBRERO,54336,1399,359,83,25.66,5.93,2.57,0.66,2022
PLAZA,PACHUCA,MARZO,55210,1489,393,101,26.39,6.78,2.7,0.71,2022
PLAZA,PACHUCA,ABRIL,55844,1537,406,102,26.42,6.64,2.75,0.73,2022
PLAZA,PACHUCA,MAYO,56484,1657,343,83,20.7,5.01,2.93,0.61,2022
PLAZA,PACHUCA,JUNIO,60452,1509,287,96,19.02,6.36,2.5,0.47,2022
PLAZA,PACHUCA,JULIO,60452,1539,353,65,22.94,4.22,2.55,0.58,2022
PLAZA,PACHUCA,AGOSTO,60452,1689,395,67,23.39,3.97,2.79,0.65,2022
PLAZA,PACHUCA,SEPTIEMBRE,60452,1507,378,68,25.08,4.51,2.49,0.63,2022
PLAZA,PACHUCA,OCTUBRE,60452,1646,338,66,20.53,4.01,2.72,0.56,2022
PLAZA,PACHUCA,NOVIEMBRE,60452,1594,421,57,26.41,3.58,2.64,0.7,2022
PLAZA,PACHUCA,DICIEMBRE,60452,1532,410,78,26.76,5.09,2.53,0.68,2022
PLAZA,PACHUCA,ENERO,60726,1965,398,84,20.25,4.27,3.24,0.66,2023
PLAZA,PACHUCA,FEBRERO,61043,1841,405,96,22,5.21,3.02,0.66,2023
PLAZA,PACHUCA,MARZO,61612,2006,527,115,26.27,5.73,3.26,0.86,2023
PLAZA,PACHUCA,ABRIL,61871,1779,490,112,27.54,6.3,2.88,0.79,2023
PLAZA,PACHUCA,MAYO,62173,2007,520,123,25.91,6.13,3.23,0.84,2023
PLAZA,PACHUCA,JUNIO,62451,1726,464,129,26.88,7.47,2.76,0.74,2023
