DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
CENTRO-SUR,05/01/2022,782,981,879,2479,966
CENTRO-SUR,06/01/2022,737,951,809,2728,918
CENTRO-SUR,07/01/2022,808,1156,802,2820,1120
CENTRO-SUR,08/01/2022,892,1231,764,2899,1197
CENTRO-SUR,09/01/2022,808,1220,696,2602,1324
CENTRO-SUR,10/01/2022,657,1111,621,2466,1176
CENTRO-SUR,11/01/2022,774,1165,794,2828,1090
CENTRO-SUR,12/01/2022,834,1238,769,2869,1137
CENTRO-SUR,13/01/2022,938,1398,795,2914,1383
CENTRO-SUR,14/01/2022,969,1879,816,2960,1394
CENTRO-SUR,15/01/2022,1128,1804,842,3237,1482
CENTRO-SUR,16/01/2022,1078,1643,838,3001,1406
CENTRO-SUR,17/01/2022,899,1295,710,2639,1607
CENTRO-SUR,18/01/2022,1018,1646,1040,2749,1586
CENTRO-SUR,19/01/2022,959,1792,926,3344,1607
CENTRO-SUR,20/01/2022,986,1803,903,3204,1809
CENTRO-SUR,21/01/2022,997,1802,810,3068,1816
CENTRO-SUR,22/01/2022,1058,1647,856,3415,1670
CENTRO-SUR,23/01/2022,925,1402,764,3048,1625
CENTRO-SUR,24/01/2022,771,1069,637,2930,1477
CENTRO-SUR,25/01/2022,927,1392,821,3287,1450
CENTRO-SUR,26/01/2022,1089,1658,897,3653,1728
CENTRO-SUR,27/01/2022,1270,1711,951,3908,1824
CENTRO-SUR,28/01/2022,1429,1802,903,4426,1673
CENTRO-SUR,29/01/2022,1509,1905,996,4616,1532
CENTRO-SUR,30/01/2022,1477,1930,877,4553,1544
CENTRO-SUR,31/01/2022,1322,1678,817,3927,1550
CENTRO-SUR,01/02/2022,1442,2010,1162,3712,1677
CENTRO-SUR,02/02/2022,1477,2198,1053,3884,1855
NORTE-NORESTE,01/06/2021,701,612,1064,1647,962
NORTE-NORESTE,02/06/2021,716,667,1123,1889,1022
NORTE-NORESTE,03/06/2021,739,653,1000,2131,1060
NORTE-NORESTE,04/06/2021,755,700,984,2350,1056
NORTE-NORESTE,05/06/2021,774,673,1036,2500,1042
NORTE-NORESTE,06/06/2021,783,642,1050,2129,1039
NORTE-NORESTE,07/06/2021,769,629,973,1675,1039
NORTE-NORESTE,08/06/2021,790,694,1223,1764,1036
NORTE-NORESTE,09/06/2021,796,714,1168,1989,1077
NORTE-NORESTE,10/06/2021,813,749,1114,1853,1108
NORTE-NORESTE,11/06/2021,819,756,1098,1908,1086
