PLAZA,fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
PUEBLA,2021-12-25,0,4,0,0,3
PUEBLA,2021-12-26,1,8,1,0,5
PUEBLA,2021-12-27,1,9,0,0,3
PUEBLA,2021-12-28,2,15,1,0,4
PUEBLA,2021-12-29,4,11,0,0,3
PUEBLA,2021-12-30,1,13,1,1,3
PUEBLA,2021-12-31,0,8,0,0,2
PUEBLA,2022-01-01,0,6,0,0,4
PUEBLA,2022-01-02,0,4,0,0,2
PUEBLA,2022-01-03,2,10,1,0,3
PUEBLA,2022-01-04,1,11,1,0,NA
PUEBLA,2022-01-05,1,5,1,0,2
PUEBLA,2022-01-06,2,12,1,1,3
PUEBLA,2022-01-07,4,7,0,1,3
PUEBLA,2022-01-08,0,9,0,0,2
PUEBLA,2022-01-09,1,6,0,0,2
PUEBLA,2022-01-10,4,11,2,0,NA
PUEBLA,2022-01-11,0,11,1,0,3
PUEBLA,2022-01-12,3,13,1,0,4
PUEBLA,2022-01-13,6,12,1,0,4
PUEBLA,2022-01-14,7,15,1,0,4
PUEBLA,2022-01-15,4,16,1,0,4
PUEBLA,2022-01-16,1,10,0,0,NA
PUEBLA,2022-01-17,6,9,1,0,3
PUEBLA,2022-01-18,0,12,2,1,3
PUEBLA,2022-01-19,3,13,3,2,5
PUEBLA,2022-01-20,3,9,0,1,3
PUEBLA,2022-01-21,4,5,0,0,2
PUEBLA,2022-01-22,4,7,0,0,2
PUEBLA,2022-01-23,0,2,0,0,1
PUEBLA,2022-01-24,1,7,2,0,2
PUEBLA,2022-01-25,0,6,0,0,1
PUEBLA,2022-01-26,4,9,2,0,3
PUEBLA,2022-01-27,1,6,3,0,2
PUEBLA,2022-01-28,2,6,0,0,2
PUEBLA,2022-01-29,0,13,4,0,3
PUEBLA,2022-01-30,1,2,2,0,1
PUEBLA,2022-01-31,0,9,1,0,2
PUEBLA,2022-02-01,5,6,0,0,2
PUEBLA,2022-02-02,2,14,1,0,4
PUEBLA,2022-02-03,4,6,4,0,3
PUEBLA,2022-02-04,1,15,1,0,3
PUEBLA,2022-02-05,2,12,3,0,3
PUEBLA,2022-02-06,0,4,2,0,2
PUEBLA,2022-02-07,1,9,0,1,3
PUEBLA,2022-02-08,2,8,2,0,2
PUEBLA,2022-02-09,5,12,3,0,4
PUEBLA,2022-02-10,3,15,0,0,4
PUEBLA,2022-02-11,1,10,3,0,3
PUEBLA,2022-02-12,1,14,0,0,3
PUEBLA,2022-02-13,1,3,1,0,1
PUEBLA,2022-02-14,1,11,1,0,3
PUEBLA,2022-02-15,4,12,2,0,4
PUEBLA,2022-02-16,0,5,1,0,1
PUERTO VALLARTA,2021-08-16,1,20,15,3,23
PUERTO VALLARTA,2021-08-17,2,19,12,0,17
