Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,CIUDAD OBREGON / NAVOJOA,4,321,28,0.087227414
DISTRITO,CIUDAD VICTORIA,3,3,,
DISTRITO,CIUDAD VICTORIA,4,40,2,0.05
DISTRITO,COACALCO,1,1960,198,0.101020408
DISTRITO,COACALCO,2,1755,163,0.092877493
DISTRITO,COACALCO,3,2121,191,0.090051862
DISTRITO,COACALCO,4,2028,185,0.09122288
DISTRITO,COATZA / MINA,1,571,40,0.070052539
DISTRITO,COATZA / MINA,2,533,49,0.091932458
DISTRITO,COATZA / MINA,3,511,33,0.064579256
DISTRITO,COATZA / MINA,4,544,40,0.073529412
DISTRITO,COLIMA / MANZANILLO,1,61,10,0.163934426
DISTRITO,COLIMA / MANZANILLO,2,66,10,0.151515152
DISTRITO,COLIMA / MANZANILLO,3,100,5,0.05
DISTRITO,COLIMA / MANZANILLO,4,133,14,0.105263158
DISTRITO,CONDESA,1,1707,170,0.099589924
DISTRITO,CONDESA,2,1783,168,0.094223219
DISTRITO,CONDESA,3,1968,166,0.084349593
DISTRITO,CONDESA,4,2034,187,0.09193707
DISTRITO,CONSTITUCION,1,1234,134,0.108589951
DISTRITO,CONSTITUCION,2,1279,102,0.079749805
DISTRITO,CONSTITUCION,3,1304,112,0.085889571
DISTRITO,CONSTITUCION,4,1440,155,0.107638889
DISTRITO,CORDOBA / ORIZABA,1,492,19,0.038617886
DISTRITO,CORDOBA / ORIZABA,2,494,12,0.024291498
DISTRITO,CORDOBA / ORIZABA,3,624,15,0.024038462
DISTRITO,CORDOBA / ORIZABA,4,520,14,0.026923077
DISTRITO,CUERNAVACA BUGAMBILIAS,1,659,54,0.081942337
DISTRITO,CUERNAVACA BUGAMBILIAS,2,647,37,0.057187017
DISTRITO,CUERNAVACA BUGAMBILIAS,3,724,45,0.062154696
DISTRITO,CUERNAVACA BUGAMBILIAS,4,696,33,0.047413793
DISTRITO,CUERNAVACA DE CORTEZ,1,751,50,0.066577896
DISTRITO,CUERNAVACA DE CORTEZ,2,728,57,0.078296703
DISTRITO,CUERNAVACA DE CORTEZ,3,879,46,0.052332196
DISTRITO,CUERNAVACA DE CORTEZ,4,869,55,0.063291139
DISTRITO,CULIACAN,1,772,75,0.097150259
DISTRITO,CULIACAN,2,639,50,0.078247261
DISTRITO,CULIACAN,3,855,71,0.083040936
DISTRITO,CULIACAN,4,819,65,0.079365079
DISTRITO,DELTA,1,2010,282,0.140298507
DISTRITO,DELTA,2,1764,239,0.135487528
DISTRITO,DELTA,3,2062,256,0.124151309
DISTRITO,DELTA,4,2175,316,0.145287356
DISTRITO,ECATEPEC,1,1152,78,0.067708333
DISTRITO,ECATEPEC,2,1089,54,0.049586777
DISTRITO,ECATEPEC,3,1177,54,0.045879354
DISTRITO,ECATEPEC,4,1190,62,0.05210084
DISTRITO,GDL BARRANCA,1,2128,284,0.133458647
DISTRITO,GDL BARRANCA,2,2112,271,0.128314394
DISTRITO,GDL BARRANCA,3,2239,279,0.124609201
DISTRITO,GDL BARRANCA,4,2264,251,0.110865724
DISTRITO,GDL CHAPULTEPEC,1,2511,384,0.152927121
DISTRITO,GDL CHAPULTEPEC,2,2508,337,0.134370016
DISTRITO,GDL CHAPULTEPEC,3,2842,446,0.156931738
DISTRITO,GDL CHAPULTEPEC,4,2985,483,0.161809045
DISTRITO,GDL COLOMOS,1,2900,369,0.127241379
DISTRITO,GDL COLOMOS,2,3138,401,0.1277884
DISTRITO,GDL COLOMOS,3,3186,375,0.117702448
DISTRITO,GDL COLOMOS,4,3263,444,0.1360711
DISTRITO,GDL EL TAPATIO,1,964,150,0.15560166
DISTRITO,GDL EL TAPATIO,2,1022,152,0.148727984
DISTRITO,GDL EL TAPATIO,3,1088,177,0.162683824
DISTRITO,GDL EL TAPATIO,4,994,137,0.137826962
DISTRITO,GDL ESTADIO,1,2226,229,0.102875112
DISTRITO,GDL ESTADIO,2,2294,230,0.100261552
DISTRITO,GDL ESTADIO,3,2394,218,0.091060986
DISTRITO,GDL ESTADIO,4,2913,304,0.104359767
