Fecha,Distrito,Tiempo Prom. Traslado (Sin 1 era),Tiempo sumT traslado sin1ra24,n traslados sin1ra
01/02/2024,LAS AGUILAS,00:43,2.641666667,88
02/02/2024,LAS AGUILAS,00:52,3.564583333,98
03/02/2024,LAS AGUILAS,00:39,2.145833333,78
04/02/2024,LAS AGUILAS,00:40,1.849305556,65
05/02/2024,LAS AGUILAS,00:37,1.211111111,46
06/02/2024,LAS AGUILAS,00:41,2.740972222,94
07/02/2024,LAS AGUILAS,00:43,2.878472222,95
08/02/2024,LAS AGUILAS,00:41,3.028472222,106
09/02/2024,LAS AGUILAS,00:43,2.905555556,97
10/02/2024,LAS AGUILAS,00:44,2.269444444,74
11/02/2024,LAS AGUILAS,00:40,2.711111111,97
12/02/2024,LAS AGUILAS,00:49,3.297916667,96
13/02/2024,LAS AGUILAS,00:39,2.995833333,110
14/02/2024,LAS AGUILAS,00:43,3.290972222,110
15/02/2024,LAS AGUILAS,00:38,3.561805556,132
16/02/2024,LAS AGUILAS,00:47,3.731944444,112
17/02/2024,LAS AGUILAS,00:39,2.9375,107
18/02/2024,LAS AGUILAS,00:49,3.188888889,92
19/02/2024,LAS AGUILAS,00:47,2.859722222,87
20/02/2024,LAS AGUILAS,00:41,3.786111111,133
21/02/2024,LAS AGUILAS,00:43,3.236805556,108
22/02/2024,LAS AGUILAS,00:44,3.841666667,125
23/02/2024,LAS AGUILAS,00:43,2.407638889,79
24/02/2024,LAS AGUILAS,00:46,2.913888889,90
25/02/2024,LAS AGUILAS,00:39,2.026388889,73
26/02/2024,LAS AGUILAS,00:47,4.226388889,128
27/02/2024,LAS AGUILAS,00:50,3.614583333,104
28/02/2024,LAS AGUILAS,00:43,3.403472222,112
29/02/2024,LAS AGUILAS,00:44,2.985416667,96
01/03/2024,LAS AGUILAS,00:55,2.997916667,78
02/03/2024,LAS AGUILAS,00:51,2.99375,83
03/03/2024,LAS AGUILAS,00:42,1.999305556,67
04/03/2024,LAS AGUILAS,00:46,2.3625,73
05/03/2024,LAS AGUILAS,00:39,2.547222222,93
06/03/2024,LAS AGUILAS,00:42,2.640972222,90
07/03/2024,LAS AGUILAS,00:35,2.5,102
08/03/2024,LAS AGUILAS,00:35,2.572222222,104
09/03/2024,LAS AGUILAS,00:35,2.023611111,82
10/03/2024,LAS AGUILAS,00:43,2.588888889,86
11/03/2024,LAS AGUILAS,00:42,2.496527778,85
12/03/2024,LAS AGUILAS,00:37,2.472222222,94
13/03/2024,LAS AGUILAS,00:39,2.735416667,101
14/03/2024,LAS AGUILAS,00:38,2.376388889,90
15/03/2024,LAS AGUILAS,00:41,2.774305556,97
16/03/2024,LAS AGUILAS,00:38,2.3875,89
17/03/2024,LAS AGUILAS,00:34,1.919444444,79
18/03/2024,LAS AGUILAS,00:35,1.440277778,58
19/03/2024,LAS AGUILAS,00:36,2.664583333,105
20/03/2024,LAS AGUILAS,00:35,2.445138889,99
21/03/2024,LAS AGUILAS,00:38,2.702777778,102
22/03/2024,LAS AGUILAS,00:40,2.616666667,92
23/03/2024,LAS AGUILAS,00:34,1.747916667,73
24/03/2024,LAS AGUILAS,00:31,0.960416667,44
25/03/2024,LAS AGUILAS,00:38,2.4625,93
26/03/2024,LAS AGUILAS,00:38,2.50625,94
27/03/2024,LAS AGUILAS,00:29,1.981944444,96
28/03/2024,LAS AGUILAS,00:24,1.706944444,101
29/03/2024,LAS AGUILAS,00:34,2.154166667,90
30/03/2024,LAS AGUILAS,00:27,1.415972222,73
31/03/2024,LAS AGUILAS,00:33,1.432638889,61
01/04/2024,LAS AGUILAS,00:34,2.413194444,101
01/11/2023,PEDREGAL,00:31,2.659027778,123
02/11/2023,PEDREGAL,00:35,2.574305556,103
03/11/2023,PEDREGAL,00:32,3.382638889,150
04/11/2023,PEDREGAL,00:31,3.073611111,142
05/11/2023,PEDREGAL,00:33,2.194444444,93
06/11/2023,PEDREGAL,00:37,3.563194444,136
07/11/2023,PEDREGAL,00:34,3.304861111,140
08/11/2023,PEDREGAL,00:36,4.027777778,159
09/11/2023,PEDREGAL,00:39,3.807638889,140
10/11/2023,PEDREGAL,00:34,2.797916667,118
11/11/2023,PEDREGAL,00:34,2.71875,115
12/11/2023,PEDREGAL,00:31,2.924305556,132
13/11/2023,PEDREGAL,00:36,3.627083333,145
14/11/2023,PEDREGAL,00:40,3.486111111,125
15/11/2023,PEDREGAL,00:40,3.102777778,109
16/11/2023,PEDREGAL,00:37,3.505555556,133
17/11/2023,PEDREGAL,00:43,3.235416667,107
18/11/2023,PEDREGAL,00:30,2.417361111,115
19/11/2023,PEDREGAL,00:33,2.347916667,102
20/11/2023,PEDREGAL,00:28,1.125694444,56
21/11/2023,PEDREGAL,00:36,3.184722222,124
22/11/2023,PEDREGAL,00:44,4.010416667,131
23/11/2023,PEDREGAL,00:37,3.66875,142
24/11/2023,PEDREGAL,00:44,4.538194444,146
25/11/2023,PEDREGAL,00:33,2.817361111,121
26/11/2023,PEDREGAL,00:39,2.869444444,105
27/11/2023,PEDREGAL,00:38,3.480555556,130
28/11/2023,PEDREGAL,00:38,3.291666667,122
29/11/2023,PEDREGAL,00:35,3.272916667,131
30/11/2023,PEDREGAL,00:37,3.384027778,131
01/12/2023,PEDREGAL,00:34,3.365972222,139
02/12/2023,PEDREGAL,00:33,2.95,126
03/12/2023,PEDREGAL,00:35,2.404166667,97
04/12/2023,PEDREGAL,00:39,3.635416667,132
05/12/2023,PEDREGAL,00:39,3.311805556,121
06/12/2023,PEDREGAL,00:35,3.282638889,132
07/12/2023,PEDREGAL,00:38,3.883333333,144
08/12/2023,PEDREGAL,00:42,3.807638889,128
09/12/2023,PEDREGAL,00:33,2.802777778,122
10/12/2023,PEDREGAL,00:31,2.175694444,101
11/12/2023,PEDREGAL,00:42,3.027777778,103
12/12/2023,PEDREGAL,00:34,2.5,105
13/12/2023,PEDREGAL,00:41,2.784722222,97
14/12/2023,PEDREGAL,00:34,2.838888889,117
15/12/2023,PEDREGAL,00:42,3.316666667,113
16/12/2023,PEDREGAL,00:37,2.509027778,97
17/12/2023,PEDREGAL,00:38,2.263888889,85
18/12/2023,PEDREGAL,00:36,3.243055556,127
19/12/2023,PEDREGAL,00:41,3.529861111,124
20/12/2023,PEDREGAL,00:35,3.491666667,141
21/12/2023,PEDREGAL,00:35,3.318055556,134
22/12/2023,PEDREGAL,00:36,3.454166667,136
23/12/2023,PEDREGAL,00:36,2.770138889,108
26/12/2023,PEDREGAL,00:32,2.859722222,125
27/12/2023,PEDREGAL,00:38,3.265277778,121
28/12/2023,PEDREGAL,00:38,3.903472222,146
29/12/2023,PEDREGAL,00:35,3.259027778,133
30/12/2023,PEDREGAL,00:34,3.227083333,134
02/01/2024,PEDREGAL,00:39,3.461111111,126
03/01/2024,PEDREGAL,00:34,3.488194444,145
04/01/2024,PEDREGAL,00:35,3.69375,149
05/01/2024,PEDREGAL,00:35,2.980555556,121
06/01/2024,PEDREGAL,00:33,2.161111111,93
07/01/2024,PEDREGAL,00:33,1.679166667,72
08/01/2024,PEDREGAL,00:35,3.017361111,122
09/01/2024,PEDREGAL,00:35,2.304861111,93
10/01/2024,PEDREGAL,00:38,3.382638889,128
11/01/2024,PEDREGAL,00:35,3.219444444,131
12/01/2024,PEDREGAL,00:34,2.840277778,118
13/01/2024,PEDREGAL,00:33,2.93125,126
14/01/2024,PEDREGAL,00:37,2.107638889,80
15/01/2024,PEDREGAL,00:39,3.399305556,123
16/01/2024,PEDREGAL,00:38,2.146527778,81
17/01/2024,PEDREGAL,00:34,3.148194444,131
18/01/2024,PEDREGAL,00:34,3.443217593,144
19/01/2024,PEDREGAL,00:44,3.88755787,125
20/01/2024,PEDREGAL,00:37,3.130300926,120
21/01/2024,PEDREGAL,00:28,1.425104167,72
22/01/2024,PEDREGAL,00:36,3.155474537,124
23/01/2024,PEDREGAL,00:40,3.436261574,122
24/01/2024,PEDREGAL,00:38,3.422222222,127
25/01/2024,PEDREGAL,00:39,3.419444444,125
26/01/2024,PEDREGAL,00:39,2.786805556,101
27/01/2024,PEDREGAL,00:44,3.325,108
28/01/2024,PEDREGAL,00:40,2.101388889,75
29/01/2024,PEDREGAL,00:38,2.885416667,108
30/01/2024,PEDREGAL,00:36,2.188888889,86
31/01/2024,PEDREGAL,00:39,3.602083333,133
01/02/2024,PEDREGAL,00:40,3.990972222,142
02/02/2024,PEDREGAL,00:40,3.60625,128
03/02/2024,PEDREGAL,00:31,2.93125,136
04/02/2024,PEDREGAL,00:26,2.13125,116
05/02/2024,PEDREGAL,00:31,2.361111111,107
06/02/2024,PEDREGAL,00:42,3.229861111,110
07/02/2024,PEDREGAL,00:42,3.715972222,127
08/02/2024,PEDREGAL,00:35,3.577777778,144
09/02/2024,PEDREGAL,00:40,3.638194444,129
10/02/2024,PEDREGAL,00:33,3.235416667,140
11/02/2024,PEDREGAL,00:30,2.063888889,97
12/02/2024,PEDREGAL,00:41,2.507638889,88
13/02/2024,PEDREGAL,00:38,2.805555556,104
14/02/2024,PEDREGAL,00:35,3.397916667,136
15/02/2024,PEDREGAL,00:35,3.063194444,126
16/02/2024,PEDREGAL,00:36,2.823611111,111
17/02/2024,PEDREGAL,00:32,2.830555556,125
18/02/2024,PEDREGAL,00:27,2.0375,108
19/02/2024,PEDREGAL,00:32,2.559722222,115
20/02/2024,PEDREGAL,00:36,2.898611111,113
21/02/2024,PEDREGAL,00:35,3.230555556,131
22/02/2024,PEDREGAL,00:31,2.61875,118
23/02/2024,PEDREGAL,00:30,1.772222222,84
24/02/2024,PEDREGAL,00:30,2.084722222,100
25/02/2024,PEDREGAL,00:35,2.281944444,92
26/02/2024,PEDREGAL,00:36,2.95625,117
27/02/2024,PEDREGAL,00:36,3.002083333,119
28/02/2024,PEDREGAL,00:39,3.822222222,140
29/02/2024,PEDREGAL,00:35,3.246527778,131
01/03/2024,PEDREGAL,00:35,2.897916667,117
02/03/2024,PEDREGAL,00:33,2.275694444,97
03/03/2024,PEDREGAL,00:37,2.233333333,86
04/03/2024,PEDREGAL,00:34,3.195833333,132
05/03/2024,PEDREGAL,00:34,2.839583333,118
06/03/2024,PEDREGAL,00:39,2.961805556,109
07/03/2024,PEDREGAL,00:33,2.447222222,105
08/03/2024,PEDREGAL,00:32,3.272916667,147
09/03/2024,PEDREGAL,00:30,2.818055556,135
10/03/2024,PEDREGAL,00:25,2.05,114
