Fecha,Distrito,Productividad,Cuadrillas firmadas,Ordenes Terminadas
14/02/2024,XOCHIMILCO,3.6,51,183
15/02/2024,XOCHIMILCO,3.5,53,185
16/02/2024,XOCHIMILCO,3.6,48,173
17/02/2024,XOCHIMILCO,3.8,48,181
18/02/2024,XOCHIMILCO,3.5,46,161
19/02/2024,XOCHIMILCO,3.6,48,174
20/02/2024,XOCHIMILCO,3.8,48,181
21/02/2024,XOCHIMILCO,3.7,50,183
22/02/2024,XOCHIMILCO,3.3,57,189
23/02/2024,XOCHIMILCO,2.5,48,121
24/02/2024,XOCHIMILCO,3.7,38,140
25/02/2024,XOCHIMILCO,3.7,37,137
26/02/2024,XOCHIMILCO,3.5,47,166
27/02/2024,XOCHIMILCO,3.6,48,173
28/02/2024,XOCHIMILCO,3.3,48,159
29/02/2024,XOCHIMILCO,3.2,52,167
01/03/2024,XOCHIMILCO,3.375,48,162
02/03/2024,XOCHIMILCO,3.822222222,45,172
03/03/2024,XOCHIMILCO,3.894736842,38,148
04/03/2024,XOCHIMILCO,3.333333333,48,160
05/03/2024,XOCHIMILCO,3.230769231,52,168
