Fecha,Distrito,Incumplimientos
20/12/2023,PEDREGAL,5
21/12/2023,PEDREGAL,7
22/12/2023,PEDREGAL,5
23/12/2023,PEDREGAL,4
26/12/2023,PEDREGAL,4
27/12/2023,PEDREGAL,12
28/12/2023,PEDREGAL,5
29/12/2023,PEDREGAL,0
30/12/2023,PEDREGAL,1
02/01/2024,PEDREGAL,0
03/01/2024,PEDREGAL,1
04/01/2024,PEDREGAL,1
05/01/2024,PEDREGAL,1
06/01/2024,PEDREGAL,1
07/01/2024,PEDREGAL,2
08/01/2024,PEDREGAL,5
09/01/2024,PEDREGAL,1
10/01/2024,PEDREGAL,5
11/01/2024,PEDREGAL,1
12/01/2024,PEDREGAL,1
13/01/2024,PEDREGAL,4
14/01/2024,PEDREGAL,3
15/01/2024,PEDREGAL,6
16/01/2024,PEDREGAL,6
17/01/2024,PEDREGAL,8
18/01/2024,PEDREGAL,4
19/01/2024,PEDREGAL,2
20/01/2024,PEDREGAL,0
21/01/2024,PEDREGAL,2
22/01/2024,PEDREGAL,4
23/01/2024,PEDREGAL,3
24/01/2024,PEDREGAL,3
25/01/2024,PEDREGAL,3
26/01/2024,PEDREGAL,2
27/01/2024,PEDREGAL,4
28/01/2024,PEDREGAL,6
29/01/2024,PEDREGAL,5
30/01/2024,PEDREGAL,5
31/01/2024,PEDREGAL,3
01/02/2024,PEDREGAL,3
02/02/2024,PEDREGAL,3
03/02/2024,PEDREGAL,1
04/02/2024,PEDREGAL,2
05/02/2024,PEDREGAL,7
06/02/2024,PEDREGAL,3
07/02/2024,PEDREGAL,6
08/02/2024,PEDREGAL,3
09/02/2024,PEDREGAL,3
10/02/2024,PEDREGAL,5
11/02/2024,PEDREGAL,1
12/02/2024,PEDREGAL,3
13/02/2024,PEDREGAL,2
14/02/2024,PEDREGAL,0
15/02/2024,PEDREGAL,1
16/02/2024,PEDREGAL,1
17/02/2024,PEDREGAL,4
18/02/2024,PEDREGAL,0
19/02/2024,PEDREGAL,3
20/02/2024,PEDREGAL,3
21/02/2024,PEDREGAL,2
22/02/2024,PEDREGAL,1
23/02/2024,PEDREGAL,3
24/02/2024,PEDREGAL,3
25/02/2024,PEDREGAL,0
26/02/2024,PEDREGAL,0
27/02/2024,PEDREGAL,4
28/02/2024,PEDREGAL,0
29/02/2024,PEDREGAL,3
01/03/2024,PEDREGAL,2
02/03/2024,PEDREGAL,3
03/03/2024,PEDREGAL,1
04/03/2024,PEDREGAL,3
05/03/2024,PEDREGAL,4
06/03/2024,PEDREGAL,2
07/03/2024,PEDREGAL,8
08/03/2024,PEDREGAL,2
09/03/2024,PEDREGAL,1
10/03/2024,PEDREGAL,2
11/03/2024,PEDREGAL,2
12/03/2024,PEDREGAL,0
13/03/2024,PEDREGAL,0
14/03/2024,PEDREGAL,3
15/03/2024,PEDREGAL,2
16/03/2024,PEDREGAL,1
17/03/2024,PEDREGAL,0
18/03/2024,PEDREGAL,2
19/03/2024,PEDREGAL,0
20/03/2024,PEDREGAL,1
21/03/2024,PEDREGAL,0
22/03/2024,PEDREGAL,1
23/03/2024,PEDREGAL,1
24/03/2024,PEDREGAL,0
25/03/2024,PEDREGAL,0
26/03/2024,PEDREGAL,2
27/03/2024,PEDREGAL,2
28/03/2024,PEDREGAL,2
29/03/2024,PEDREGAL,4
30/03/2024,PEDREGAL,2
31/03/2024,PEDREGAL,0
01/04/2024,PEDREGAL,2
02/04/2024,PEDREGAL,1
03/04/2024,PEDREGAL,2
04/04/2024,PEDREGAL,2
05/04/2024,PEDREGAL,1
06/04/2024,PEDREGAL,1
07/04/2024,PEDREGAL,0
08/04/2024,PEDREGAL,0
09/04/2024,PEDREGAL,1
10/04/2024,PEDREGAL,2
11/04/2024,PEDREGAL,0
01/11/2023,PORTALES,33
02/11/2023,PORTALES,22
03/11/2023,PORTALES,19
04/11/2023,PORTALES,14
05/11/2023,PORTALES,6
06/11/2023,PORTALES,10
07/11/2023,PORTALES,4
08/11/2023,PORTALES,9
09/11/2023,PORTALES,8
10/11/2023,PORTALES,8
11/11/2023,PORTALES,7
12/11/2023,PORTALES,5
13/11/2023,PORTALES,9
14/11/2023,PORTALES,5
15/11/2023,PORTALES,10
16/11/2023,PORTALES,4
17/11/2023,PORTALES,9
18/11/2023,PORTALES,18
19/11/2023,PORTALES,13
20/11/2023,PORTALES,8
21/11/2023,PORTALES,15
22/11/2023,PORTALES,9
23/11/2023,PORTALES,6
24/11/2023,PORTALES,6
25/11/2023,PORTALES,2
26/11/2023,PORTALES,3
27/11/2023,PORTALES,2
28/11/2023,PORTALES,7
29/11/2023,PORTALES,0
30/11/2023,PORTALES,8
01/12/2023,PORTALES,13
02/12/2023,PORTALES,20
